zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips
90212,34.06208,-118.40173,Beverly Hills,CA,California,TRUE,NA,11878,4844.5,6037
90220,33.88058,-118.23591,Compton,CA,California,TRUE,NA,51042,2848.9,6037
90221,33.88542,-118.20614,Compton,CA,California,TRUE,NA,50928,3653.7,6037
90222,33.91213,-118.23721,Compton,CA,California,TRUE,NA,34547,4928.3,6037
90230,33.99691,-118.39487,Culver City,CA,California,TRUE,NA,33135,2818,6037
90232,34.01859,-118.39157,Culver City,CA,California,TRUE,NA,14921,2664,6037
90240,33.9564,-118.11803,Downey,CA,California,TRUE,NA,26801,3438.6,6037
90241,33.94076,-118.1295,Downey,CA,California,TRUE,NA,42759,3385.8,6037
90242,33.92216,-118.14167,Downey,CA,California,TRUE,NA,41703,3565.4,6037
90245,33.91709,-118.40161,El Segundo,CA,California,TRUE,NA,16575,1196.7,6037
90247,33.89159,-118.29735,Gardena,CA,California,TRUE,NA,47507,4882.9,6037
90248,33.87689,-118.28362,Gardena,CA,California,TRUE,NA,11425,928.2,6037
90249,33.90152,-118.31707,Gardena,CA,California,TRUE,NA,26192,3403.1,6037
90250,33.91383,-118.34996,Hawthorne,CA,California,TRUE,NA,95115,5426.1,6037
90254,33.86532,-118.39616,Hermosa Beach,CA,California,TRUE,NA,19147,5171.8,6037
90255,33.97697,-118.21725,Huntington Park,CA,California,TRUE,NA,74390,7707.8,6037
90260,33.88768,-118.34952,Lawndale,CA,California,TRUE,NA,34540,5398.2,6037
90262,33.92384,-118.20133,Lynwood,CA,California,TRUE,NA,69369,5612.5,6037
90263,34.03919,-118.70809,Malibu,CA,California,TRUE,NA,1813,2993.3,6037
90265,34.07282,-118.84995,Malibu,CA,California,TRUE,NA,18028,62.7,6037
90266,33.88968,-118.39705,Manhattan Beach,CA,California,TRUE,NA,35064,3344.2,6037
90270,33.98856,-118.18774,Maywood,CA,California,TRUE,NA,27127,8807.4,6037
90272,34.08066,-118.54459,Pacific Palisades,CA,California,TRUE,NA,21848,354.3,6037
90274,33.77732,-118.3684,Palos Verdes Peninsula,CA,California,TRUE,NA,24541,791.4,6037
90275,33.7555,-118.36338,Rancho Palos Verdes,CA,California,TRUE,NA,41731,1190.7,6037
90277,33.83099,-118.38441,Redondo Beach,CA,California,TRUE,NA,34494,3721,6037
90278,33.87362,-118.37028,Redondo Beach,CA,California,TRUE,NA,40090,4216.6,6037
90280,33.94453,-118.19256,South Gate,CA,California,TRUE,NA,94905,4965.5,6037
90290,34.09725,-118.6125,Topanga,CA,California,TRUE,NA,5200,107.2,6037
90291,33.99447,-118.46315,Venice,CA,California,TRUE,NA,27556,4318.7,6037
90292,33.97865,-118.44707,Marina Del Rey,CA,California,TRUE,NA,23931,4408.2,6037
90293,33.95071,-118.43745,Playa Del Rey,CA,California,TRUE,NA,12915,1819.5,6037
90301,33.95647,-118.35863,Inglewood,CA,California,TRUE,NA,39320,6118.4,6037
90302,33.97472,-118.35565,Inglewood,CA,California,TRUE,NA,29367,5926.5,6037
90303,33.93601,-118.33112,Inglewood,CA,California,TRUE,NA,23961,4767,6037
90304,33.93736,-118.35879,Inglewood,CA,California,TRUE,NA,26584,6260.2,6037
90305,33.9583,-118.33113,Inglewood,CA,California,TRUE,NA,15373,2270.9,6037
90401,34.01584,-118.49251,Santa Monica,CA,California,TRUE,NA,7079,3622.5,6037
90402,34.03598,-118.50391,Santa Monica,CA,California,TRUE,NA,11637,2200.1,6037
90403,34.03164,-118.48975,Santa Monica,CA,California,TRUE,NA,24359,6662.6,6037
90404,34.02665,-118.47381,Santa Monica,CA,California,TRUE,NA,23107,4526.4,6037
90405,34.01208,-118.4679,Santa Monica,CA,California,TRUE,NA,27509,3818,6037
90501,33.8336,-118.31419,Torrance,CA,California,TRUE,NA,42298,2872.7,6037
90502,33.83497,-118.29291,Torrance,CA,California,TRUE,NA,18527,3194.8,6037
90503,33.84089,-118.3538,Torrance,CA,California,TRUE,NA,44354,3251.5,6037
90504,33.86693,-118.33135,Torrance,CA,California,TRUE,NA,32703,2863,6037
90505,33.80904,-118.34775,Torrance,CA,California,TRUE,NA,36820,2429.4,6037
90506,33.88493,-118.33044,Torrance,CA,California,TRUE,NA,0,0,6037
90601,34.0078,-118.03287,Whittier,CA,California,TRUE,NA,30623,1115.2,6037
90602,33.97317,-118.02341,Whittier,CA,California,TRUE,NA,25426,2616.9,6037
90603,33.94487,-117.99239,Whittier,CA,California,TRUE,NA,20780,2536.3,6037
90604,33.93012,-118.01226,Whittier,CA,California,TRUE,NA,40545,3719.4,6037
90605,33.95209,-118.02085,Whittier,CA,California,TRUE,NA,41162,2488.5,6037
90606,33.97742,-118.0661,Whittier,CA,California,TRUE,NA,32631,3321.1,6037
90620,33.84616,-118.01176,Buena Park,CA,California,TRUE,NA,46228,2802.1,6059
90621,33.87396,-117.99346,Buena Park,CA,California,TRUE,NA,35448,3265.5,6059
90623,33.85038,-118.04088,La Palma,CA,California,TRUE,NA,15624,3325.3,6059
90630,33.81814,-118.03814,Cypress,CA,California,TRUE,NA,49378,3099.9,6059
90631,33.94266,-117.95126,La Habra,CA,California,TRUE,NA,68748,1899.5,6059
90638,33.90236,-118.00907,La Mirada,CA,California,TRUE,NA,48704,2426.5,6037
90639,33.90565,-118.01499,La Mirada,CA,California,TRUE,NA,NA,NA,6037
90640,34.01506,-118.111,Montebello,CA,California,TRUE,NA,62873,2916.8,6037
90650,33.90703,-118.08249,Norwalk,CA,California,TRUE,NA,104524,4075.4,6037
90660,33.98868,-118.09111,Pico Rivera,CA,California,TRUE,NA,62507,3113.9,6037
90670,33.93279,-118.0626,Santa Fe Springs,CA,California,TRUE,NA,16410,761.5,6037
90680,33.80115,-117.99532,Stanton,CA,California,TRUE,NA,30807,4660.6,6059
90701,33.8676,-118.08055,Artesia,CA,California,TRUE,NA,16500,3912.1,6037
90703,33.86797,-118.06874,Cerritos,CA,California,TRUE,NA,49633,2190.5,6037
90704,33.3765,-118.43678,Avalon,CA,California,TRUE,NA,4201,21.3,6037
90706,33.88802,-118.12709,Bellflower,CA,California,TRUE,NA,76339,4827.8,6037
90710,33.79806,-118.29918,Harbor City,CA,California,TRUE,NA,28566,4724.6,6037
90712,33.849,-118.14677,Lakewood,CA,California,TRUE,NA,30773,2818.1,6037
90713,33.84797,-118.11268,Lakewood,CA,California,TRUE,NA,27905,3106.9,6037
90715,33.84037,-118.07887,Lakewood,CA,California,TRUE,NA,20505,4671.8,6037
90716,33.8305,-118.07295,Hawaiian Gardens,CA,California,TRUE,NA,14170,5938.6,6037
90717,33.79345,-118.31706,Lomita,CA,California,TRUE,NA,20919,4032.3,6037
90720,33.79573,-118.06342,Los Alamitos,CA,California,TRUE,NA,22998,1460.7,6059
90723,33.89768,-118.16508,Paramount,CA,California,TRUE,NA,53949,4387.3,6037
90731,33.7334,-118.27398,San Pedro,CA,California,TRUE,NA,60813,2537.7,6037
90732,33.74319,-118.31048,San Pedro,CA,California,TRUE,NA,22561,2435.5,6037
90740,33.75461,-118.07129,Seal Beach,CA,California,TRUE,NA,24288,848,6059
90742,33.71834,-118.07174,Sunset Beach,CA,California,TRUE,NA,617,1265,6059
90743,33.72963,-118.08594,Surfside,CA,California,TRUE,NA,256,740.4,6059
90744,33.77821,-118.26087,Wilmington,CA,California,TRUE,NA,56450,2452.7,6037
90745,33.82117,-118.26458,Carson,CA,California,TRUE,NA,55567,2607.8,6037
90746,33.85855,-118.25518,Carson,CA,California,TRUE,NA,27458,1832.5,6037
90747,33.86372,-118.25142,Carson,CA,California,TRUE,NA,0,0,6037
90755,33.80274,-118.16747,Signal Hill,CA,California,TRUE,NA,11458,2036.1,6037
90802,33.75035,-118.21142999999999,Long Beach,CA,California,TRUE,NA,39165,2315.4,6037
90803,33.76162,-118.12178,Long Beach,CA,California,TRUE,NA,32241,3062.7,6037
